country,number-of-movies,global-box-office-usd
United States,"24,328","631,243,223,863"
United Kingdom,"4,455","55,920,874,223"
China,"2,825","48,612,619,987"
France,"4,253","21,089,734,238"
Japan,"2,000","18,426,642,146"
Germany,"2,053","11,035,157,672"
Republic of Korea,"1,899","9,667,943,270"
Canada,"1,932","8,693,461,399"
Australia,"1,058","8,263,951,308"
India,"2,565","8,183,021,385"
New Zealand,290,"7,413,412,918"
Hong Kong,480,"7,332,040,316"
Italy,"1,973","4,616,705,364"
Spain,"1,870","4,403,521,357"
Russian Federation,"1,337","2,760,627,680"
Belgium,665,"2,382,868,136"
Mexico,620,"2,139,742,142"
Sweden,338,"1,464,236,193"
Netherlands,571,"1,405,513,353"
Ireland,370,"1,364,656,372"
Brazil,585,"1,119,643,075"
Turkey,"1,244","1,065,088,786"
Taiwan,178,"952,034,056"
Denmark,327,"857,541,542"
Finland,181,"757,275,166"
Czech Republic,411,"737,818,561"
Poland,359,"715,259,903"
Switzerland,287,"700,177,642"
Argentina,920,"641,763,298"
South Africa,180,"608,903,753"
Hungary,142,"570,585,777"
United Arab Emirates,50,"539,368,692"
Malta,16,"520,548,489"
Austria,209,"323,088,171"
Panama,12,"305,439,992"
Colombia,92,"280,918,323"
Luxembourg,120,"280,332,774"
Norway,232,"279,467,901"
Tunisia,27,"249,467,149"
Romania,216,"232,674,822"
Thailand,146,"231,340,275"
Morocco,39,"229,669,117"
Chile,126,"198,261,487"
Slovakia,169,"181,258,576"
Uruguay,55,"169,200,779"
Paraguay,17,"165,740,252"
Iceland,79,"145,415,983"
Philippines,173,"128,111,926"
Israel,231,"127,938,263"
Ukraine,85,"106,302,954"
Peru,44,"96,900,282"
Kuwait,7,"96,775,326"
Lebanon,47,"87,382,532"
Iran,105,"85,876,861"
Greece,101,"84,287,917"
Cuba,45,"67,634,816"
Portugal,364,"65,204,952"
Venezuela,28,"56,326,599"
Bahamas,8,"56,207,252"
Latvia,49,"53,699,230"
Malaysia,43,"53,695,818"
Algeria,17,"47,510,533"
Greenland,5,"46,084,208"
Bulgaria,123,"43,927,131"
Botswana,4,"43,923,227"
Singapore,39,"43,494,364"
Croatia,69,"37,901,748"
Namibia,4,"34,034,218"
Estonia,45,"33,273,851"
Germany,15,"29,573,980"
Kazakhstan,34,"28,819,388"
Lithuania,125,"27,360,005"
Cayman Islands,3,"19,894,696"
Costa Rica,10,"19,513,972"
Serbia,61,"18,883,910"
Indonesia,75,"18,434,789"
Saudi Arabia,22,"18,043,536"
Pakistan,68,"16,413,610"
Qatar,68,"15,418,276"
Bosnia and Herzegovina,30,"14,943,578"
Mongolia,19,"14,692,708"
Occupied Palestinian Territory,31,"12,810,895"
Dominican Republic,34,"11,545,683"
Slovenia,54,"10,963,049"
Egypt,68,"10,897,835"
Viet Nam,45,"8,913,136"
Cyprus,17,"7,865,740"
Montenegro,5,"7,833,027"
Belarus,15,"7,299,428"
Mauritania,2,"6,817,760"
Senegal,20,"6,642,683"
Korea,12,"6,507,674"
Monaco,7,"6,056,333"
Armenia,16,"5,233,261"
Bermuda,3,"5,200,000"
Afghanistan,21,"5,067,922"
Puerto Rico,21,"4,652,889"
Georgia,33,"4,368,627"
Kenya,19,"4,118,104"
Cameroon,9,"3,074,051"
Kosovo,12,"3,014,936"
Yemen,5,"2,466,867"
Cambodia,24,"2,447,747"
Isle of Man,3,"2,393,476"
Papua New Guinea,3,"2,287,136"
Northern Ireland,4,"1,979,596"
Nepal,31,"1,893,678"
Tajikistan,5,"1,776,779"
Albania,13,"1,668,679"
Myanmar,6,"1,625,005"
Libya,3,"1,522,008"
Jordan,10,"1,375,790"
Bhutan,4,"1,178,662"
Guatemala,9,"1,069,363"
Maldives,2,"993,251"
Brunei Darussalam,1,"993,251"
Djibouti,1,"993,251"
Nigeria,88,"865,925"
Laos,4,"856,821"
Vanuatu,2,"574,050"
Bangladesh,15,"475,338"
Palau,1,"443,291"
French Polynesia,1,"443,291"
Ghana,11,"406,799"
Netherlands Antilles,1,"359,849"
Sri Lanka,7,"355,709"
Iraq,15,"304,301"
Chad,3,"279,502"
Cape Verde,4,"273,078"
Uzbekistan,4,"270,968"
Rwanda,4,"261,759"
Syria,13,"212,604"
Bolivia,11,"206,928"
British Indian Ocean Territory,1,"204,784"
Cook Islands,1,"186,978"
Sudan,6,"168,347"
Somalia,3,"157,071"
Mauritius,1,"135,802"
Ethiopia,10,"113,927"
Azerbaijan,10,"102,961"
Holy See (Vatican City State),1,"85,479"
Democratic Republic of the Congo,5,"84,087"
Jamaica,7,"82,978"
Angola,7,"78,698"
Moldova,4,"64,211"
Uganda,7,"61,510"
CÂ™te D'Ivoire,2,"49,967"
Haiti,7,"41,873"
Czechoslovakia,5,"35,541"
Tanzania,9,"27,694"
Zimbabwe,1,"25,038"
Macao,2,"25,021"
Congo,1,"24,139"
Gabon,1,"23,866"
Bahrain,1,"19,130"
Burkina Faso,3,"7,849"
Andorra,1,"4,325"
Samoa,1,"4,266"
Lesotho,2,"3,355"
Ecuador,9,"2,742"
Mozambique,2,"2,467"
Mali,2,"1,939"
Kyrgyzstan,7,"1,238"
Barbados,1,"1,105"
Antarctica,2,976
Trinidad and Tobago,4,0
Nicaragua,4,0
Liechtenstein,4,0
El Salvador,2,0
Saint Kitts and Nevis,2,0
Sierra Leone,1,0
Belize,1,0
Benin,1,0
Kiribati,1,0
Niger,1,0
Malawi,1,0
Madagascar,1,0
Micronesia,1,0
Liberia,1,0
Gambia,1,0
Central African Republic,1,0
Honduras,1,0
Fiji,1,0
Solomon Islands,1,0
Guinea-Bissau,1,0
Oman,1,0
Zambia,1,0