country,year,ca_balance_perGDP,gov_revenue_perGDP,gdp_per_capita_usd,military_expenditure_usd
Eritrea,2020,14.222,31.107,NA,NA
Kosovo,2020,-6.973,25.641,NA,NA
South Sudan,2020,-19.181,28.981,NA,128916014.1
Taiwan,2020,14.194,15.246,NA,NA
Turkmenistan,2020,2.589,11.441,NA,NA
Venezuela,2020,-3.492,4.298,NA,NA
West Bank and Gaza,2020,-12.25,25.258,NA,NA
Yemen,2020,-8.864,6.805,NA,NA
Luxembourg,2020,4.08,43.304,117370.5,405790493.6
Switzerland,2020,0.423,34.087,85656.3,6389669862
Ireland,2020,-6.842,22.313,85420.2,1144420381
Norway,2020,1.103,54.162,67329.7,7269880030
United States of America,2020,-2.942,30.815,63530.6,7.78E+11
Denmark,2020,7.878,53.751,60915.4,4980428135
Singapore,2020,16.451,17.509,60729.5,9978571429
Iceland,2020,0.857,42.191,59200.2,0
Sweden,2020,5.887,48.252,52837.9,6271285838
Qatar,2020,-1.98,35.971,52315.7,NA
Netherlands,2020,5.142,43.292,52162.6,13085717542
Australia,2020,2.195,35.892,51720.4,27300894701
Finland,2020,0.555,51.62,49170.8,4087541320
Austria,2020,2.977,48.732,48809.2,3601618603
Germany,2020,7.055,46.075,46772.8,53210988259
Hong Kong SAR,2020,6.993,20.678,46107.8,NA
Belgium,2020,1.105,49.929,45517.8,5442835974
San Marino,2020,2.782,21.586,45320.2,NA
Israel,2020,5.461,33.978,44846.8,21816569767
Canada,2020,-2.153,41.799,43258.3,23281319911
New Zealand,2020,-1.035,37.772,41596.5,3034587930
United Kingdom,2020,-3.2,36.86,40318.6,60675039625
Japan,2020,2.929,35.499,39918.2,51970830953
France,2020,-1.797,52.52,39055.3,52747064858
Macao SAR,2020,14.867,27.783,37646.3,NA
United Arab Emirates,2020,6.038,28.662,37629.2,NA
Andorra,2020,14.634,40.485,37207.5,NA
Italy,2020,3.854,47.337,31911,28921342756
South Korea,2020,4.615,22.862,31721.3,45523984708
Puerto Rico,2020,NA,20.834,31393.9,NA
Malta,2020,4.602,36.365,28977.6,67983586
Cyprus,2020,-10.055,38.826,28036.2,483415023.4
Brunei Darussalam,2020,4.279,17.462,27179.4,436548223.4
Spain,2020,0.607,41.823,26959.7,17431779323
Slovenia,2020,7.555,43.436,25545.2,567650746.6
Aruba,2020,-12.121,22.929,24487.9,NA
Kuwait,2020,3.986,55.12,24300.3,6941042345
The Bahamas,2020,-23.552,18.397,23862.7,NA
Estonia,2020,-0.992,39.364,23595.2,718112390.3
Bahrain,2020,-9.372,17.89,23501.9,1404787234
Czech Republic,2020,1.991,41.452,22992.9,3252505062
Portugal,2020,-1.039,43.407,22242.4,4302975037
Lithuania,2020,7.3,34.723,20339.5,1174056765
Slovakia,2020,0.552,39.406,19545.7,2047190243
Saudi Arabia,2020,-3.107,28.388,19539.6,64558400000
St. Kitts and Nevis,2020,-10.882,35.023,18566.1,NA
Latvia,2020,2.601,37.424,18207.1,742049470
Greece,2020,-7.331,48.973,17658.9,5301379232
Oman,2020,-16.637,29.621,16707.6,6095708713
Barbados,2020,-5.886,28.422,16643.8,NA
Hungary,2020,-1.133,43.547,16121,2771214572
Poland,2020,2.483,41.324,15817,13718291432
Uruguay,2020,-0.906,28.124,15619.5,1091535360
Antigua and Barbuda,2020,-16.893,20.399,14787.6,NA
Croatia,2020,-0.531,46.672,14198.8,1013002721
Palau,2020,-45.139,49.581,14016.2,NA
Trinidad and Tobago,2020,-6.441,23.038,13871.8,171301906.3
Chile,2020,-1.948,21.975,13094.5,5286204683
Romania,2020,-4.941,28.618,13047.4,5052321471
Seychelles,2020,-13.48,33.96,12809,18814132.46
Panama,2020,-0.351,18.269,12569.2,0
Costa Rica,2020,-1.024,13.912,12132.9,0
China,2020,1.674,25.685,10408.7,2.58E+11
Russia,2020,2.377,35.164,10169.1,61712537169
Malaysia,2020,4.167,20.16,10160.8,3374583532
Bulgaria,2020,0.04,34.862,10129.8,1074134515
Nauru,2020,2.527,156.04,9307.9,NA
Kazakhstan,2020,-4.436,17.509,9121.6,1548175775
Mauritius,2020,-8.797,21.613,9007.4,18478399.39
Mexico,2020,2.09,24.151,8655,8044880864
Turkey,2020,-4.428,28.854,8561.1,17478413685
Argentina,2020,0.795,33.471,8496.4,2830929705
St. Lucia,2020,-15.298,22.174,8458.2,NA
Grenada,2020,-16.426,28.137,8437.6,NA
St. Vincent and the Grenadines,2020,-15.681,28.531,8335.3,NA
Republic of Serbia,2020,-4.12,40.966,7733.8,1121211783
Montenegro,2020,-26.052,43.416,7677.2,82981876.21
Libya,2020,-8.475,35.069,7568,NA
Maldives,2020,-35.532,26.441,7282.4,NA
Dominican Republic,2020,-1.694,14.187,7167.9,599052525.4
Dominica,2020,-35.441,60.127,7003.5,NA
Thailand,2020,4.182,20.633,6990.9,7268823905
Guyana,2020,-16.325,22.763,6863.1,76541839.68
Brazil,2020,-1.911,33.684,6794.5,19591209004
Gabon,2020,-6.897,17.615,6680.1,263471597.1
Belarus,2020,-0.423,35.175,6542.8,707418032.8
Equatorial Guinea,2020,-4.151,14.102,6327.6,162373364.4
Peru,2020,1.189,17.842,6056.3,2653592900
Bosnia and Herzegovina,2020,-3.256,40.769,6012.1,167521865.9
Macedonia,2020,-2.93,28.354,5965.5,153537482.9
Botswana,2020,-8.654,25.659,5863.2,499027479.5
South Africa,2020,1.972,25.011,5741.6,3231017731
Ecuador,2020,2.713,29.408,5645.2,2356300000
Lebanon,2020,-15.104,16.028,5600,1921393035
Marshall Islands,2020,22.165,69.633,5568,NA
Paraguay,2020,2.707,18.694,5353.3,364342200
Albania,2020,-8.677,25.905,5332.2,187433233.9
Colombia,2020,-3.46,26.6,5307.2,9554131505
Belize,2020,-6.15,24.198,5266.9,26699200
Tuvalu,2020,17.422,138.63,4973.8,NA
Jamaica,2020,-0.442,29.525,4897.3,236865671.6
Fiji,2020,-12.704,23.35,4864.1,72184232.78
Suriname,2020,9.011,18.423,4796.5,NA
Tonga,2020,-5.329,44.203,4606.1,NA
Guatemala,2020,4.937,10.688,4604.6,342766481
Armenia,2020,-3.78,25.246,4505.9,633960400.1
Moldova,2020,-7.692,31.369,4500.6,44533780.66
Iraq,2020,-10.873,31.322,4332.3,5649373637
Georgia,2020,-12.499,25.213,4255.7,287864077.7
Namibia,2020,2.559,33.413,4251.2,368224738.9
Azerbaijan,2020,-0.533,33.711,4229.9,2237764706
Jordan,2020,-5.671,22.406,4042.8,2055915493
Samoa,2020,0.171,35.973,4042.8,NA
Mongolia,2020,-5.067,27.884,4041.2,112178387.7
El Salvador,2020,0.826,24.873,3903.4,343900000
Indonesia,2020,-0.417,12.461,3894.3,9386956718
Sri Lanka,2020,-1.391,8.67,3893.8,1529361955
Ukraine,2020,3.303,39.682,3751.7,5924200880
Micronesia,2020,3.661,62.278,3639.4,NA
Vietnam,2020,4.349,18.39,3586.3,NA
Tunisia,2020,-5.892,25.448,3497.7,1157372367
Egypt,2020,-2.919,18.227,3398.8,4505374644
Eswatini,2020,7.064,28.91,3372.9,75040988.58
Algeria,2020,-12.846,30.53,3337.3,9708277440
Morocco,2020,-1.166,26.999,3258.1,4830956394
Philippines,2020,3.201,20.381,3224.4,3732673666
Bolivia,2020,-0.071,25.254,3068.8,510495827.3
Bhutan,2020,-15.797,31.126,3009.9,NA
Cabo Verde,2020,-15.012,24.691,2924.1,11279268.1
Djibouti,2020,11.317,23.451,2918,NA
Vanuatu,2020,7.892,41.429,2877.5,NA
Iran,2020,-0.362,7.239,2746.4,15825143121
Lao P.D.R.,2020,-5.147,12.99,2593.4,NA
Papua New Guinea,2020,19.705,14.656,2446.1,85887096.77
Honduras,2020,2.862,23.352,2354.1,350370790.6
Côte d'Ivoire,2020,-3.136,14.59,2288.1,607155890
Bangladesh,2020,-1.454,8.468,2233.3,4558171468
Solomon Islands,2020,-1.631,30.991,2222.5,NA
Ghana,2020,-3.798,14.068,2176.6,239887164.3
São Tomé and Príncipe,2020,-11.019,29.038,2161.3,NA
Nigeria,2020,-3.723,6.501,2074.6,2567917819
Kenya,2020,-4.76,16.666,1936.4,1115321770
India,2020,0.899,18.177,1910.4,72937064048
Mauritania,2020,-6.692,20.949,1868.5,198530037.2
Nicaragua,2020,3.947,26.923,1863.1,79343309.6
Republic of Congo,2020,13.452,21.876,1838.4,298382191.9
Uzbekistan,2020,-4.994,25.46,1749.7,NA
Timor-Leste,2020,-14.271,42.141,1660.3,38456000
Angola,2020,1.526,21.345,1604,993594404.6
Cambodia,2020,-8.466,23.925,1577.9,646974133.3
Cameroon,2020,-3.713,13.392,1539.1,393299390.1
Comoros,2020,-1.703,18.251,1519.6,NA
Senegal,2020,-10.866,20.159,1490.2,345637478.9
Myanmar,2020,-3.384,16.038,1477.5,2498229138
Kiribati,2020,39.994,131.554,1430.6,NA
Zimbabwe,2020,2.524,13.275,1372.7,8622459.834
Pakistan,2020,-1.481,13.265,1322.3,10394502555
Haiti,2020,1.091,7.485,1283.1,26380884.78
Benin,2020,-1.746,14.389,1237.9,71817818.48
Kyrgyzstan,2020,4.801,30.837,1182.5,131104408.7
Nepal,2020,-1.013,22.245,1139.2,435462088.4
Guinea,2020,-16.148,13.907,1073.7,206992890.8
United Republic of Tanzania,2020,-1.908,14.314,1042.1,659313034.2
Lesotho,2020,-0.999,53.379,989.8,38618836.53
Zambia,2020,10.613,20.299,956.8,212142427.4
Ethiopia,2020,-4.6,11.705,918.7,504066088.3
Togo,2020,-0.274,16.238,897.2,163926877.2
Tajikistan,2020,4.13,24.824,852.3,80370009.74
Uganda,2020,-9.468,13.918,846.8,984759731.7
Burkina Faso,2020,4.144,19.137,833.2,382464677.4
Mali,2020,-2.199,20.516,822.9,593865883.5
Rwanda,2020,-12.052,23.892,774.7,147873731.9
Guinea Bissau,2020,-2.558,15.397,710.3,23306688.45
The Gambia,2020,-2.962,22.979,704,14805015.93
Chad,2020,-7.294,21.096,643.8,322866526.5
Malawi,2020,-13.77,14.546,628.7,89409367.95
Sudan,2020,-17.45,4.819,608.3,934311153.8
Liberia,2020,-16.399,31.266,597.5,12123500
Niger,2020,-13.213,17.55,564.8,238269588.3
Syria,2020,NA,NA,533.4,NA
Democratic Republic of the Congo,2020,-2.248,8.951,524.7,362091615.5
Afghanistan,2020,11.157,25.694,516.9,279576954.9
Sierra Leone,2020,-7.073,19.967,493.5,22374596.48
Madagascar,2020,-5.375,12.398,462.4,87357752.07
Mozambique,2020,-27.332,27.495,450,288258945.9
Central African Republic,2020,-8.165,21.75,435.5,44348098.08
Somalia,2020,-10.491,7.22,416.2,98160000
Burundi,2020,-10.282,23.107,216.8,67474092.72
Somaliland,0,0,0,0,0
Antarctica,0,0,0,0,0
Greenland,0,0,0,0,0
North Korea,0,0,0,0,0
Swaziland,0,0,0,0,0